# Solar Abundances from Asplund et al. (2009), ARA&A, 47, 481
# Abundances are given as Log_10(X) + 12, and X is the abundance relative to H.
# Proton-Number	Element Log-Abundance Error
1   H    12.00  0.00
2   He   10.93  0.01
3   Li    1.05  0.10
4   Be    1.38  0.09
5   B     2.70  0.20
6   C     8.43  0.05
7   N     7.83  0.05
8   O     8.69  0.05
9   F     4.56  0.30
10  Ne    7.93  0.10
11  Na    6.24  0.04
12  Mg    7.60  0.04
13  Al    6.45  0.03
14  Si    7.51  0.03
15  P     5.41  0.03
16  S     7.12  0.03
17  Cl    5.50  0.30
18  Ar    6.40  0.13
19  K     5.03  0.09
20  Ca    6.34  0.04
21  Sc    3.15  0.04
22  Ti    4.95  0.05
23  V     3.93  0.08
24  Cr    5.64  0.04
25  Mn    5.43  0.05
26  Fe    7.50  0.04
27  Co    4.99  0.07
28  Ni    6.22  0.04
29  Cu    4.19  0.04
30  Zn    4.56  0.05
31  Ga    3.04  0.09
32  Ge    3.65  0.10
36  Kr    3.25  0.06
37  Rb    2.52  0.10
38  Sr    2.87  0.07
39  Y     2.21  0.05
40  Zr    2.58  0.04
41  Nb    1.46  0.04
42  Mo    1.88  0.08
44  Ru    1.75  0.08
45  Rh    0.91  0.10
46  Pd    1.57  0.10
47  Ag    0.94  0.10
49  In    0.80  0.20
50  Sn    2.04  0.10
56  Ba    2.18  0.09
57  La    1.10  0.04
58  Ce    1.58  0.04
59  Pr    0.72  0.04
60  Nd    1.42  0.04
62  Sm    0.96  0.04
63  Eu    0.52  0.04
64  Gd    1.07  0.04
65  Tb    0.30  0.10
66  Dy    1.10  0.04
67  Ho    0.48  0.11
68  Er    0.92  0.05
69  Tm    0.10  0.04
70  Yb    0.84  0.11
71  Lu    0.10  0.09
72  Hf    0.85  0.04
74  W     0.85  0.12
76  Os    1.40  0.08
77  Ir    1.38  0.07
79  Au    0.92  0.10
81  Tl    0.90  0.20
82  Pb    1.75  0.10
90  Th    0.02  0.10

                    
